DATE_TIME,current_contract,next_contract,carry_contract
1999-11-29 06:00:00,19991200,20000300,20000100
2000-02-28 06:00:00,20000300,20000700,20000400
2000-06-28 05:00:00,20000700,20000900,20000900
2000-08-29 05:00:00,20000900,20001200,20001000
2000-11-28 06:00:00,20001200,20010300,20010100
2001-02-26 06:00:00,20010300,20010700,20010400
2001-06-28 05:00:00,20010700,20010900,20010900
2001-08-29 05:00:00,20010900,20011200,20011000
2001-11-28 06:00:00,20011200,20020300,20020100
2002-02-26 06:00:00,20020300,20020700,20020400
2002-06-28 05:00:00,20020700,20020900,20020900
2002-08-29 05:00:00,20020900,20021200,20021000
2002-11-27 06:00:00,20021200,20030300,20030100
2003-02-26 06:00:00,20030300,20030700,20030400
2003-06-27 05:00:00,20030700,20030900,20030900
2003-08-29 05:00:00,20030900,20031200,20031000
2003-11-26 06:00:00,20031200,20040300,20040100
2004-02-27 06:00:00,20040300,20040700,20040400
2004-06-28 05:00:00,20040700,20040900,20040900
2004-08-30 05:00:00,20040900,20041200,20041000
2004-11-29 06:00:00,20041200,20050300,20050100
2005-02-25 06:00:00,20050300,20050700,20050400
2005-06-28 05:00:00,20050700,20050900,20050900
2005-08-29 05:00:00,20050900,20051200,20051000
2005-11-28 06:00:00,20051200,20060300,20060100
2006-02-27 06:00:00,20060300,20060700,20060400
2006-06-28 05:00:00,20060700,20060900,20060900
2006-08-29 05:00:00,20060900,20061200,20061000
2006-11-28 06:00:00,20061200,20070300,20070100
2007-02-26 06:00:00,20070300,20070700,20070400
2007-06-28 05:00:00,20070700,20070900,20070900
2007-08-29 05:00:00,20070900,20071200,20071000
2007-11-28 06:00:00,20071200,20080300,20080100
2008-02-27 06:00:00,20080300,20080700,20080400
2008-06-27 05:00:00,20080700,20080900,20080900
2008-08-29 05:00:00,20080900,20081200,20081000
2008-11-28 06:00:00,20081200,20090300,20090100
2009-02-26 06:00:00,20090300,20090700,20090400
2009-06-28 22:00:00,20090700,20090900,20090900
2009-08-28 00:00:00,20090900,20091200,20091000
2009-11-27 00:00:00,20091200,20100300,20100100
2010-02-26 01:00:00,20100300,20100700,20100400
2010-06-28 00:00:00,20100700,20100900,20100900
2010-08-29 22:00:00,20100900,20101200,20101000
2010-11-28 23:00:00,20101200,20110300,20110100
2011-02-25 04:00:00,20110300,20110700,20110400
2011-06-28 00:00:00,20110700,20110900,20110900
2011-08-29 00:00:00,20110900,20111200,20111000
2011-11-28 00:00:00,20111200,20120300,20120100
2012-02-27 01:00:00,20120300,20120700,20120400
2012-06-28 00:00:00,20120700,20120900,20120900
2012-08-29 00:00:00,20120900,20121200,20121000
2012-11-28 00:00:00,20121200,20130300,20130100
2013-02-26 02:00:00,20130300,20130700,20130400
2013-06-28 00:00:00,20130700,20130900,20130900
2013-08-29 00:00:00,20130900,20131200,20131000
2013-11-28 00:00:00,20131200,20140300,20140100
2014-02-26 01:00:00,20140300,20140700,20140400
2014-06-27 00:00:00,20140700,20140900,20140900
2014-08-29 00:00:00,20140900,20141200,20141000
2014-11-28 00:00:00,20141200,20150300,20150100
2015-02-26 00:00:00,20150300,20150700,20150400
2015-06-28 22:00:00,20150700,20150900,20150900
2015-08-28 00:00:00,20150900,20151200,20151000
