DATE_TIME,current_contract,next_contract,carry_contract
1988-04-20 23:00:00,19880600,19880800,19880400
1988-06-20 23:00:00,19880800,19881000,19880600
1988-08-19 23:00:00,19881000,19881200,19880800
1988-10-20 23:00:00,19881200,19890200,19881000
1988-12-20 23:00:00,19890200,19890400,19881200
1989-02-17 23:00:00,19890400,19890600,19890200
1989-04-20 23:00:00,19890600,19890800,19890400
1989-06-20 23:00:00,19890800,19891000,19890600
1989-08-18 23:00:00,19891000,19891200,19890800
1989-10-20 23:00:00,19891200,19900200,19891000
1989-12-20 23:00:00,19900200,19900400,19891200
1990-02-20 23:00:00,19900400,19900600,19900200
1990-04-20 23:00:00,19900600,19900800,19900400
1990-06-20 23:00:00,19900800,19901000,19900600
1990-08-20 23:00:00,19901000,19901200,19900800
1990-10-19 23:00:00,19901200,19910200,19901000
1990-12-20 23:00:00,19910200,19910400,19901200
1991-02-21 23:00:00,19910400,19910600,19910200
1991-04-23 23:00:00,19910600,19910800,19910400
1991-06-21 23:00:00,19910800,19911000,19910600
1991-08-23 23:00:00,19911000,19911200,19910800
1991-10-24 23:00:00,19911200,19920200,19911000
1991-12-20 23:00:00,19920200,19920400,19911200
1992-02-21 23:00:00,19920400,19920600,19920200
1992-04-23 23:00:00,19920600,19920800,19920400
1992-06-23 23:00:00,19920800,19921000,19920600
1992-08-24 23:00:00,19921000,19921200,19920800
1992-10-23 23:00:00,19921200,19930200,19921000
1992-12-22 23:00:00,19930200,19930400,19921200
1993-02-19 23:00:00,19930400,19930600,19930200
1993-04-23 23:00:00,19930600,19930800,19930400
1993-06-23 23:00:00,19930800,19931000,19930600
1993-08-24 23:00:00,19931000,19931200,19930800
1993-10-22 23:00:00,19931200,19940200,19931000
1993-12-21 23:00:00,19940200,19940400,19931200
1994-02-18 23:00:00,19940400,19940600,19940200
1994-04-22 23:00:00,19940600,19940800,19940400
1994-06-23 23:00:00,19940800,19941000,19940600
1994-08-24 23:00:00,19941000,19941200,19940800
1994-10-24 23:00:00,19941200,19950200,19941000
1994-12-22 23:00:00,19950200,19950400,19941200
1995-02-21 23:00:00,19950400,19950600,19950200
1995-04-21 23:00:00,19950600,19950800,19950400
1995-06-23 23:00:00,19950800,19951000,19950600
1995-08-24 23:00:00,19951000,19951200,19950800
1995-10-24 23:00:00,19951200,19960200,19951000
1995-12-22 23:00:00,19960200,19960400,19951200
1996-02-22 23:00:00,19960400,19960600,19960200
1996-04-23 23:00:00,19960600,19960800,19960400
1996-06-21 23:00:00,19960800,19961000,19960600
1996-08-23 23:00:00,19961000,19961200,19960800
1996-10-24 23:00:00,19961200,19970200,19961000
1996-12-23 23:00:00,19970200,19970400,19961200
1997-02-21 23:00:00,19970400,19970600,19970200
1997-04-23 23:00:00,19970600,19970800,19970400
1997-06-23 23:00:00,19970800,19971000,19970600
1997-08-22 23:00:00,19971000,19971200,19970800
1997-10-24 23:00:00,19971200,19980200,19971000
1997-12-23 23:00:00,19980200,19980400,19971200
1998-02-20 23:00:00,19980400,19980600,19980200
1998-04-23 23:00:00,19980600,19980800,19980400
1998-06-30 23:00:00,19980800,19981000,19980600
1998-08-31 23:00:00,19981000,19981200,19980800
1998-10-30 23:00:00,19981200,19990200,19981000
1998-12-31 23:00:00,19990200,19990400,19981200
1999-02-26 23:00:00,19990400,19990600,19990200
1999-04-30 23:00:00,19990600,19990800,19990400
1999-06-30 23:00:00,19990800,19991000,19990600
1999-08-30 23:00:00,19991000,19991200,19990800
1999-10-29 23:00:00,19991200,20000200,19991000
1999-12-30 23:00:00,20000200,20000400,19991200
2000-02-29 23:00:00,20000400,20000600,20000200
2000-04-28 23:00:00,20000600,20000800,20000400
2000-06-30 23:00:00,20000800,20001000,20000600
2000-08-30 23:00:00,20001000,20001200,20000800
2000-10-30 23:00:00,20001200,20010200,20001000
2000-12-29 23:00:00,20010200,20010400,20001200
2001-02-28 23:00:00,20010400,20010600,20010200
2001-04-30 23:00:00,20010600,20010800,20010400
2001-06-29 23:00:00,20010800,20011000,20010600
2001-08-30 23:00:00,20011000,20011200,20010800
2001-10-30 23:00:00,20011200,20020200,20011000
2001-12-31 23:00:00,20020200,20020400,20011200
2002-02-28 23:00:00,20020400,20020600,20020200
2002-04-30 23:00:00,20020600,20020800,20020400
2002-06-28 23:00:00,20020800,20021000,20020600
2002-08-30 23:00:00,20021000,20021200,20020800
2002-10-30 23:00:00,20021200,20030200,20021000
2002-12-31 23:00:00,20030200,20030400,20021200
2003-02-28 23:00:00,20030400,20030600,20030200
2003-04-30 23:00:00,20030600,20030800,20030400
2003-06-30 23:00:00,20030800,20031000,20030600
2003-08-29 23:00:00,20031000,20031200,20030800
2003-10-30 23:00:00,20031200,20040200,20031000
2003-12-31 23:00:00,20040200,20040400,20031200
2004-02-27 23:00:00,20040400,20040600,20040200
2004-04-30 23:00:00,20040600,20040800,20040400
2004-06-30 23:00:00,20040800,20041000,20040600
2004-08-30 23:00:00,20041000,20041200,20040800
2004-10-29 23:00:00,20041200,20050200,20041000
2004-12-30 23:00:00,20050200,20050400,20041200
2005-02-28 23:00:00,20050400,20050600,20050200
2005-04-29 23:00:00,20050600,20050800,20050400
2005-06-30 23:00:00,20050800,20051000,20050600
2005-08-30 23:00:00,20051000,20051200,20050800
2005-10-31 23:00:00,20051200,20060200,20051000
